x,y,z
1,1,7
2,2,55
3,3,7
4,2,35
5,2,85
1,2,68
2,1,37
3,2,80
4,0,5
5,1,4
1,1,16
2,3,1
3,2,7
4,4,3
5,2,35
1,1,43
2,1,23
3,3,47
4,1,44
5,4,40
1,2,1
2,1,68
3,4,47
4,1,46
5,3,23
1,2,22
2,3,25
3,3,22
4,0,31
5,3,78
1,2,24
2,2,12
3,2,65
4,0,58
1,2,62
2,3,25
3,1,24
4,2,41
1,2,21
2,0,0
3,3,3
4,1,74
5,0,3
1,1,9
2,0,2
3,0,42
4,2,50
5,0,58
3,1,86
4,1,37
5,1,15
2,3,17
3,2,18
1,3,17
2,3,38
3,0,40
4,2,42
5,4,53
2,0,30
3,1,89
4,2,52
5,3,23
1,1,0
2,2,32
3,4,47
4,4,5
5,2,68
5,1,47
1,1,29
2,4,8
3,1,31
4,1,11
5,1,41
1,0,23
2,1,80
3,0,47
4,1,18
5,1,39
5,4,45
1,2,10
2,0,33
3,4,20
4,2,41
5,0,4
1,2,42
2,2,84
3,1,38
4,0,48
5,2,12
1,3,38
2,3,31
3,0,38
4,0,41
5,1,27
1,3,43
2,3,17
3,1,0
4,0,85
5,1,79
